fips,state,county,year,tot_pop,tot_male,tot_female,nh_male,nh_female,h_male,h_female,wa_male,wa_female,ba_male,ba_female,ia_male,ia_female,aa_male,aa_female,na_male,na_female,tom_male,tom_female,nhwa_male,nhwa_female,nhba_male,nhba_female,nhia_male,nhia_female,nhaa_male,nhaa_female,nhna_male,nhna_female,nhtom_male,nhtom_female,hwa_male,hwa_female,hba_male,hba_female,hia_male,hia_female,haa_male,haa_female,hna_male,hna_female,htom_male,htom_female,cx,cy
08077,08,077,2010,146313,72717,73596,62741,64008,9976,9588,68837,69824,627,425,1102,1042,487,689,100,85,1564,1531,60205,61496,476,269,441,428,415,633,78,64,1126,1118,8632,8328,151,156,661,614,72,56,22,21,438,413,336.3560049,352.4812663
08079,08,079,2010,710,362,348,344,326,18,22,338,325,6,0,8,11,1,1,0,0,9,11,324,307,6,0,4,8,1,1,0,0,9,10,14,18,0,0,4,3,0,0,0,0,0,1,365.8856012,395.8821499
08081,08,081,2010,13818,7063,6755,5995,5818,1068,937,6828,6513,33,28,72,81,34,48,2,2,94,83,5812,5634,26,20,41,43,33,48,2,1,81,72,1016,879,7,8,31,38,1,0,0,1,13,11,348.0051107,306.8433808
08083,08,083,2010,25539,12622,12917,11161,11508,1461,1409,10769,10850,41,47,1498,1684,67,81,9,21,238,234,9537,9658,28,32,1341,1540,50,72,6,13,199,193,1232,1192,13,15,157,144,17,9,3,8,39,41,326.8878252,400.813153
08085,08,085,2010,41183,20285,20898,16079,16980,4206,3918,19266,19928,105,87,374,325,128,155,26,26,386,377,15534,16435,58,47,98,84,100,135,17,16,272,263,3732,3493,47,40,276,241,28,20,9,10,114,114,338.3606651,370.9227427
08087,08,087,2010,28193,13933,14260,9086,9583,4847,4677,13020,13338,436,396,173,195,95,92,34,34,175,205,8439,8974,391,334,48,53,76,73,16,12,116,137,4581,4364,45,62,125,142,19,19,18,22,59,68,442.5180269,327.3154812
08089,08,089,2010,18855,9262,9593,5486,5790,3776,3803,8536,8933,98,63,302,264,96,91,14,21,216,221,5169,5498,60,36,57,50,83,71,11,12,106,123,3367,3435,38,27,245,214,13,20,3,9,110,98,438.9155895,396.3164856
08091,08,091,2010,4455,2243,2212,2139,2103,104,109,2193,2162,2,2,14,12,7,19,3,0,24,17,2098,2058,2,2,9,9,7,19,3,0,20,15,95,104,0,0,5,3,0,0,0,0,4,2,348.5534732,379.5435457
08093,08,093,2010,16262,8541,7721,8124,7326,417,395,8224,7397,38,30,87,94,41,67,0,1,151,132,7862,7061,37,30,56,60,40,66,0,0,129,109,362,336,1,0,31,34,1,1,0,1,22,23,397.4118424,356.6995199
08095,08,095,2010,4472,2188,2284,1748,1871,440,413,2139,2231,14,1,13,17,9,13,2,3,11,19,1716,1835,10,1,5,6,9,13,1,2,7,14,423,396,4,0,8,11,0,0,1,1,4,5,474.9356353,320.024561
